prefix_length,accuracy,mae
1,1.0,694765.5856559052
2,0.4065724111578143,692873.3787078704
3,0.5492283129324108,558765.8734068658
4,0.6417525773195877,652539.1649036707
5,0.7503448275862069,630762.394702758
6,0.8409947249434815,627156.7065693291
7,0.8963022508038585,645502.550573552
8,0.9209650582362728,646164.2349920965
9,0.8632478632478633,629692.6054739316
10,0.8073878627968337,606455.3729076519
11,0.794010889292196,583742.2121079861
12,0.7502401536983669,556456.187000241
13,0.7622448979591837,505070.5618673469
14,0.7417582417582418,491505.5390318678
15,0.7447058823529412,461589.88765735336
16,0.7135614702154626,440780.7867667933
17,0.6924177396280401,405734.33942024305
18,0.6370967741935484,392542.23231693567
19,0.6807339449541284,383263.07741880754
20,0.6610878661087866,372248.54477562744
21,0.6418269230769231,359137.0447656249
22,0.6545961002785515,353189.4865647633
23,0.7096774193548387,344660.35229677404
24,0.6861313868613139,344010.212509124
25,0.628099173553719,331355.0408863639
26,0.6666666666666666,316335.1587873136
27,0.6795580110497238,316376.31876381236
28,0.7333333333333333,277125.4956015151
29,0.6551724137931034,279041.8646672414
30,0.7384615384615385,294426.05057500006
31,0.6486486486486487,292961.139481982
32,0.6326530612244898,289313.35877295927
33,0.7241379310344828,304575.164586207
34,0.6883116883116883,364958.407357143
35,0.7183098591549296,339533.4857992958
36,0.6615384615384615,297807.21075384616
37,0.6491228070175439,335305.7129166666
38,0.660377358490566,330145.3164622642
39,0.6122448979591837,278703.8989336735
40,0.7368421052631579,321383.39351315796
41,0.6388888888888888,290217.9595138889
42,0.7419354838709677,273691.33038709674
43,0.41379310344827586,240957.89856896552
44,0.5238095238095238,253813.5735
45,0.7894736842105263,242474.54536842104
46,0.8125,200752.84325
47,0.5,298582.35645
48,0.625,281739.09031249996
49,0.6,304589.17984999996
50,0.8,300998.39739999996
51,0.6,339299.55449999997
52,0.8,353809.2237
53,1.0,376268.7035
54,0.3333333333333333,239084.64866666668
55,0.0,800950.247
56,0.0,150832.8545
57,1.0,147198.1045
58,1.0,144293.9795
59,1.0,37482.7305
