prefix_length,accuracy,mae
1,1.0,711102.9720249722
2,0.4065724111578143,650352.7490566943
3,0.5492283129324108,607757.4985952397
4,0.6411082474226805,694201.9093751437
5,0.7517241379310344,626368.7854340425
6,0.8379804069329314,620436.6561286596
7,0.8938906752411575,661946.1536151575
8,0.9176372712146422,670867.841541404
9,0.8606837606837607,656543.0635849156
10,0.8073878627968337,632818.5162003803
11,0.7931034482758621,600299.2534006424
12,0.7531219980787704,573445.6005622859
13,0.7642857142857142,517025.0821960564
14,0.7384615384615385,509798.8076336075
15,0.7447058823529412,486443.1434023065
16,0.7110266159695817,472822.8361046144
17,0.698140200286123,433558.4257397714
18,0.6403225806451613,424592.1628399159
19,0.6752293577981652,420504.19587070204
20,0.6694560669456067,409319.9926137826
21,0.6370192307692307,394202.990565201
22,0.649025069637883,393721.61754033883
23,0.7096774193548387,380201.8581550723
24,0.6824817518248175,389255.9433767351
25,0.6446280991735537,376278.7538464384
26,0.6567164179104478,367848.6496831815
27,0.6574585635359116,367110.6246346698
28,0.7212121212121212,340570.73247368564
29,0.6689655172413793,345521.5876252241
30,0.7307692307692307,350509.6076855634
31,0.6576576576576577,338369.89759716165
32,0.6122448979591837,332751.42982816277
33,0.735632183908046,342582.46360580594
34,0.6753246753246753,397565.39974123193
35,0.6901408450704225,417088.1557271465
36,0.676923076923077,396689.6259927796
37,0.5614035087719298,446763.98530939204
38,0.660377358490566,422462.12693636556
39,0.6122448979591837,394494.88157605485
40,0.7105263157894737,407339.82739882666
41,0.6388888888888888,411238.71310391626
42,0.6129032258064516,302865.4430636369
43,0.4482758620689655,332457.6526744496
44,0.42857142857142855,366493.90789697674
45,0.7894736842105263,362825.9409791018
46,0.8125,364156.3050212675
47,0.5,419847.72744231747
48,0.625,440920.3920930077
49,0.6,511425.53922853945
50,0.6,510790.7543226243
51,0.8,481092.20470891456
52,0.6,500900.9671828132
53,1.0,450357.45845056395
54,0.3333333333333333,443756.0519321444
55,0.0,823166.4900529423
56,0.0,429111.0758527622
57,1.0,211761.4055933761
58,1.0,177538.63127564066
59,1.0,224440.49050211656
