prefix_length,accuracy,mae
1,0.0,793037.0134069675
2,0.0,793037.2966648986
3,0.0,707040.5342157482
4,0.0,642130.3990873822
5,0.0,612904.7922925812
6,0.0,576969.3563965247
7,0.0,548708.8686044201
8,0.0,536413.1330925028
9,0.17777777777777778,526913.2825568693
10,0.31398416886543534,530907.7391313395
11,0.3765880217785844,567784.4177214644
12,0.3314121037463977,586196.0637843546
13,0.3357142857142857,619819.5170612872
14,0.3516483516483517,643171.0840667813
15,0.32235294117647056,668572.8831515634
16,0.3257287705956908,707386.1206919625
17,0.30472103004291845,717967.4801088126
18,0.24516129032258063,733231.0295701304
19,0.22201834862385322,761258.6705560486
20,0.21338912133891214,772573.4823181212
21,0.1658653846153846,770566.3097730747
22,0.1671309192200557,773039.9755771841
23,0.1774193548387097,763914.1324362088
24,0.145985401459854,765382.1086307273
25,0.11570247933884298,766880.1998698987
26,0.11442786069651742,756447.6021790062
27,0.0718232044198895,762094.5418128483
28,0.10909090909090909,784154.5643410363
29,0.06896551724137931,785373.0797852811
30,0.06923076923076923,803744.9023295159
31,0.04504504504504504,791999.8427761843
32,0.030612244897959183,819952.8875579434
33,0.034482758620689655,829807.373267837
34,0.025974025974025976,831900.7252279024
35,0.04225352112676056,843990.8397027678
36,0.06153846153846154,856242.514150695
37,0.07017543859649122,895375.4109147929
38,0.03773584905660377,905080.5709253183
39,0.08163265306122448,893938.2385906234
40,0.0,912844.1278279624
41,0.027777777777777776,937978.7933031087
42,0.0,955251.2684688793
43,0.0,978304.5776201583
44,0.0,970223.3217515213
45,0.0,970188.0894858573
46,0.0,966471.6133378308
47,0.0,959701.349975331
48,0.0,971093.516650331
49,0.0,990023.6858753308
50,0.0,993771.5096753308
51,0.0,1011508.5542753309
52,0.0,1012120.0484753309
53,0.0,1024829.1532753309
54,0.0,1024829.1609419975
55,0.0,1024793.3842753308
56,0.0,1024846.9292753309
57,0.0,1024846.9292753309
58,0.0,1024846.9292753309
59,0.0,1024846.9302753308
