prefix_length,accuracy,mae
1,1.0,709273.6913224859
2,0.5372564004585403,693207.0884263233
3,0.37413517828632253,536949.8684016176
4,0.6443298969072165,653678.665849707
5,0.7503448275862069,629004.5336241625
6,0.8379804069329314,644680.4394410532
7,0.8946945337620579,654447.8407132139
8,0.9151414309484193,665504.983148758
9,0.8606837606837607,665874.6686449215
10,0.8065083553210203,647552.1957281627
11,0.7876588021778584,615460.7252224714
12,0.7531219980787704,585625.4157926758
13,0.7653061224489796,530685.8702837336
14,0.7395604395604396,522442.5828043846
15,0.7482352941176471,494063.873696538
16,0.7186311787072244,476973.61985999177
17,0.7010014306151645,449578.31425518345
18,0.635483870967742,442053.45192569785
19,0.6807339449541284,416867.04156563967
20,0.6589958158995816,400059.71100941236
21,0.6538461538461539,385661.8144722923
22,0.6601671309192201,381889.69092919544
23,0.7,376949.74059978814
24,0.6970802919708029,370956.6356635229
25,0.6363636363636364,351986.61316439696
26,0.6716417910447762,346400.59149590926
27,0.6685082872928176,357174.12528459483
28,0.703030303030303,293963.1757086565
29,0.6551724137931034,278847.5039327886
30,0.7153846153846154,283528.43767981965
31,0.6576576576576577,294086.36803253146
32,0.6530612244897959,286376.77357324096
33,0.7471264367816092,324648.7589398056
34,0.7142857142857143,344605.039230529
35,0.704225352112676,353694.16451003595
36,0.6923076923076923,307168.64279585815
37,0.631578947368421,345281.5294235763
38,0.660377358490566,308210.26349599427
39,0.6326530612244898,265262.5505414843
40,0.6842105263157895,308867.55139194144
41,0.6388888888888888,256233.7240977233
42,0.6774193548387096,180653.0368582526
43,0.5862068965517241,200771.6970981992
44,0.5714285714285714,224396.3799309297
45,0.6842105263157895,209666.58674084328
46,0.8125,182417.49159127875
47,0.5,193803.73018809975
48,0.625,189304.18590232864
49,0.6,349252.7791349412
50,0.6,316271.8421724979
51,0.6,365515.3116820854
52,0.8,299969.3510632925
53,1.0,116843.97270238481
54,0.3333333333333333,65395.277530391584
55,0.0,169235.21286864582
56,0.0,511108.2529711961
57,1.0,363816.1770889503
58,1.0,253399.2691792364
59,1.0,135871.9343301879
