prefix_length,accuracy,mae
1,0.6345024599269957,910397.0924499432
2,0.8939850817330582,902272.7886988665
3,0.9998412950325345,894368.685925756
4,0.999682590065069,878213.4674863603
5,0.9596889382637677,882642.6337032279
6,0.8549436597365497,871742.1329537401
7,0.7439237490071485,871827.1377043417
8,0.7456601369644847,845489.9430817715
9,0.8142764857881137,641582.2652963485
10,0.680161943319838,570181.5158400937
11,0.6966548929981301,552492.9762322664
12,0.6930011862396204,492766.8262233769
13,0.6732228153975836,452472.27316512156
14,0.682381280110117,447524.98266822466
15,0.6754617414248021,437284.99763425125
16,0.6420361247947455,426261.2613798709
17,0.6580907244414353,421531.00585621665
18,0.6610312764158918,393083.60895065585
19,0.6503267973856209,392770.0428621814
20,0.6666666666666666,375102.38224761083
21,0.6917808219178082,356990.6106359107
22,0.6986607142857143,356901.1133950996
23,0.6695906432748538,318729.2112621713
24,0.6791044776119403,282259.2862938728
25,0.71,296649.07723649347
26,0.7124183006535948,269367.1239900368
27,0.6639344262295082,244683.75464076322
28,0.6976744186046512,266496.9216700353
29,0.8055555555555556,273738.11949578696
30,0.6792452830188679,245593.1879821164
31,0.6829268292682927,234481.51155779973
32,0.6470588235294118,274517.75278290734
33,0.8275862068965517,235874.54705871522
34,0.7777777777777778,238403.04232520622
35,0.5384615384615384,272152.5647583432
36,0.75,238029.91102234463
37,0.75,200544.0456714955
38,0.7142857142857143,185698.70069253628
39,0.5,228781.77320603136
40,0.75,233722.7506531177
41,0.75,242242.65841775975
42,0.6666666666666666,132862.79410065923
43,0.5,174168.02259386948
44,1.0,47619.1841937966
45,1.0,93483.42043755058
46,1.0,86357.67497388854
47,1.0,82142.38197965099
48,1.0,57874.97128649139
